gsno,lid,lat,lon,elev
13269000,WEII1,44.24556,116.98,2086.0
14358680,GCCO3,45.069722,118.313056,4500.0
12025000,NEWW1,46.62,122.944722,190.0
13237920,MFPI1,44.11389,115.97222,3040.0
14188800,TRSO3,44.71222,122.76833,380.0
14361500,GRAO3,42.43056,123.31667,880.0
14303600,BEAO3,45.266667,123.845833,43.0
13094000,BUHI1,42.665833,114.712222,2952.0
12301250,TBAM8,48.8779,115.0544,2555.0
12374250,MCNM8,47.8298,114.6978,3000.0
12330000,BMXM8,46.4722,113.2331,4750.0
13174500,OGCN2,41.688889,115.843889,6119.0
10396000,DONO3,42.78333,118.86667,4260.0
12020000,DOTW1,46.6175,123.276389,302.0
14310000,RDLO3,42.924167,123.429167,723.0
14113000,PITW1,45.75667,121.20889,289.0
14203500,DLLO3,45.475,123.123056,147.0
12389500,THRM8,47.59194,115.22861,2429.0
12424000,HAGW1,47.64917,117.455,1717.0
14319500,WNRO3,43.268056,123.409167,372.0
13206000,BIGI1,43.66028,116.27806,2600.0
14369500,ARWO3,42.35,123.4,950.0
13069500,BFTI1,43.14194,112.51833,4400.0
13127000,MAKI1,43.939167,113.648333,5946.0
13131000,ACKI1,43.7336,113.5147,5840.0
12210000,NSSW1,48.6777777778,122.165277778,380.0
13063000,BKHI1,42.815278,111.506667,6259.0
14327000,MYNO3,43.07083,124.10556,2.0
12358500,WGCM8,48.49528,114.00917,3129.0
12366080,WFRM8,48.226667,114.291389,2901.0
12459000,PESW1,47.58444,120.62,1028.0
13032500,PALI1,43.35,111.2175,5353.0
13233300,VALO3,43.98889,117.21944,2220.0
12031000,CRPW1,46.93333,123.31667,24.0
12079000,DSRW1,46.85,122.666667,349.0
13345000,PLOI1,46.91528,116.95,2455.0
12375900,SOCM8,47.491389,114.026389,3320.0
14372300,AGNO3,42.580556,124.058333,114.0
13305000,LERI1,44.94,113.637778,4960.0
12352500,BITM8,46.831667,114.053333,3110.0
13168500,HOTI1,42.77111,115.71944,2599.0
14326510,MYPO3,43.070833,124.156389,60.0
12167000,ARGW1,48.261667,122.046389,89.0
12026400,BCDW1,46.7722,122.9231,195.0
12479500,YUMW1,47.19194,120.94556,1900.0
12200500,MVEW1,48.445,122.334167,30.0
13056500,REXI1,43.659444,111.904167,4806.0
13319000,LAGO3,45.5506,118.0133,2826.0
14046500,SERO3,44.79389,120.00556,1632.0
14321000,EKTO3,43.58611,123.55417,90.0
13340000,ORFI1,46.47861,116.25639,991.0
12350250,VICM8,46.44333,114.12278,3330.0
12194000,CONW1,48.516667,121.766667,130.0
14301500,TLMO3,45.475833,123.725,71.0
